name_of_work,content,,,,,,,,,,,,,,
From the Dark Tower by Countee Cullen,"We shall not always plant while others reap
The golden increment of bursting fruit,
Not always countenance, abject and mute,
That lesser men should hold their brothers cheap;
Not everlastingly while others sleep
Shall we beguile their limbs with mellow flute,
Not always bend to some more subtle brute;
We were not made to eternally weep.

The night whose sable breast relieves the stark,
White stars is no less lovely being dark,
And there are buds that cannot bloom at all
In light, but crumple, piteous, and fall;
So in the dark we hide the heart that bleeds,
And wait, and tend our agonizing seeds.",,,,,,,,,,,,,,
Cat by J.R.R. Tolkien,"The fat cat on the mat
may seem to dream
of nice mice that suffice
for him, or cream;
but he free, maybe,
walks in thought
unbowed, proud, where loud
roared and fought
his kin, lean and slim,
or deep in den
in the East feasted on beasts
and tender men.
The giant lion with iron
claw in paw,
and huge ruthless tooth
in gory jaw;
the pard, dark-starred,
fleet upon feet,
that oft soft from aloft
leaps on his meat
where woods loom in gloom--
far now they be,
fierce and free,
and tamed is he;
but fat cat on the mat
kept as a pet,
he does not forget.",,,,,,,,,,,,,,
"Gardens of Babur, Kabul by Aria Aber","In the walled garden, surrounded by cold marble
and rows of sanctioned lime trees, I grow

defenseless against desire—I almost touch
myself remembering your scent, time zones away,

clean first, then that sourness
after sex. My eye is a slow thief, it stops

for so little: under the orange tree, a young woman
lifts from her lover’s hair a praying mantis,

its green intelligence like calligraphy
on her hand. Children scream, a man wipes

oil with bread—people still go to lunch
within a war, can you believe it?

It is here I understand I am free, I am perpetual,
because it is you who hungers me.",,,,,,,,,,,,,,
how is it so easy for you by Rupi Kaur,"how is it so easy for you
to be kind to people he asked

milk and honey dripped
from my lips as i answered

cause people have not
been kind to me",,,,,,,,,,,,,,
The Eve of St. Agnes by John Keats,"St. Agnes' Eve—Ah, bitter chill it was!
The owl, for all his feathers, was a-cold;
The hare limp'd trembling through the frozen grass,
And silent was the flock in woolly fold:
Numb were the Beadsman's fingers, while he told
His rosary, and while his frosted breath,
Like pious incense from a censer old,
Seem'd taking flight for heaven, without a death,
Past the sweet Virgin's picture, while his prayer he saith.
His prayer he saith, this patient, holy man;
Then takes his lamp, and riseth from his knees,
And back returneth, meagre, barefoot, wan,
Along the chapel aisle by slow degrees:
The sculptur'd dead, on each side, seem to freeze,
Emprison'd in black, purgatorial rails:
Knights, ladies, praying in dumb orat'ries,
He passeth by; and his weak spirit fails
To think how they may ache in icy hoods and mails.
Northward he turneth through a little door,
And scarce three steps, ere Music's golden tongue
Flatter'd to tears this aged man and poor;
But no—already had his deathbell rung;
The joys of all his life were said and sung:
His was harsh penance on St. Agnes' Eve:
Another way he went, and soon among
Rough ashes sat he for his soul's reprieve,
And all night kept awake, for sinners' sake to grieve.
That ancient Beadsman heard the prelude soft;
And so it chanc'd, for many a door was wide,
From hurry to and fro. Soon, up aloft,
The silver, snarling trumpets 'gan to chide:
The level chambers, ready with their pride,
Were glowing to receive a thousand guests:
The carved angels, ever eager-eyed,
Star'd, where upon their heads the cornice rests,
With hair blown back, and wings put cross-wise on their breasts.
At length burst in the argent revelry,
With plume, tiara, and all rich array,
Numerous as shadows haunting faerily
The brain, new stuff'd, in youth, with triumphs gay
Of old romance. These let us wish away,
And turn, sole-thoughted, to one Lady there,
Whose heart had brooded, all that wintry day,
On love, and wing'd St. Agnes' saintly care,
As she had heard old dames full many times declare.
They told her how, upon St. Agnes' Eve,
Young virgins might have visions of delight,
And soft adorings from their loves receive
Upon the honey'd middle of the night,
If ceremonies due they did aright;
As, supperless to bed they must retire,
And couch supine their beauties, lily white;
Nor look behind, nor sideways, but require
Of Heaven with upward eyes for all that they desire.
Full of this whim was thoughtful Madeline:
The music, yearning like a God in pain,
She scarcely heard: her maiden eyes divine,
Fix'd on the floor, saw many a sweeping train
Pass by—she heeded not at all: in vain
Came many a tiptoe, amorous cavalier,
And back retir'd; not cool'd by high disdain,
But she saw not: her heart was otherwhere:
She sigh'd for Agnes' dreams, the sweetest of the year.
She danc'd along with vague, regardless eyes,
Anxious her lips, her breathing quick and short:
The hallow'd hour was near at hand: she sighs
Amid the timbrels, and the throng'd resort
Of whisperers in anger, or in sport;
'Mid looks of love, defiance, hate, and scorn,
Hoodwink'd with faery fancy; all amort,
Save to St. Agnes and her lambs unshorn,
And all the bliss to be before to-morrow morn.
So, purposing each moment to retire,
She linger'd still. Meantime, across the moors,
Had come young Porphyro, with heart on fire
For Madeline. Beside the portal doors,
Buttress'd from moonlight, stands he, and implores
All saints to give him sight of Madeline,
But for one moment in the tedious hours,
That he might gaze and worship all unseen;
Perchance speak, kneel, touch, kiss—in sooth such things have been.
He ventures in: let no buzz'd whisper tell:
All eyes be muffled, or a hundred swords
Will storm his heart, Love's fev'rous citadel:
For him, those chambers held barbarian hordes,
Hyena foemen, and hot-blooded lords,
Whose very dogs would execrations howl
Against his lineage: not one breast affords
Him any mercy, in that mansion foul,
Save one old beldame, weak in body and in soul.
Ah, happy chance! the aged creature came,
Shuffling along with ivory-headed wand,
To where he stood, hid from the torch's flame,
Behind a broad half-pillar, far beyond
The sound of merriment and chorus bland:
He startled her; but soon she knew his face,
And grasp'd his fingers in her palsied hand,
Saying, ""Mercy, Porphyro! hie thee from this place;
They are all here to-night, the whole blood-thirsty race!
""Get hence! get hence! there's dwarfish Hildebrand;
He had a fever late, and in the fit
He cursed thee and thine, both house and land:
Then there's that old Lord Maurice, not a whit
More tame for his gray hairs—Alas me! flit!
Flit like a ghost away.""—""Ah, Gossip dear,
We're safe enough; here in this arm-chair sit,
And tell me how""—""Good Saints! not here, not here;
Follow me, child, or else these stones will be thy bier.""
He follow'd through a lowly arched way,
Brushing the cobwebs with his lofty plume,
And as she mutter'd ""Well-a—well-a-day!""
He found him in a little moonlight room,
Pale, lattic'd, chill, and silent as a tomb.
""Now tell me where is Madeline,"" said he,
""O tell me, Angela, by the holy loom
Which none but secret sisterhood may see,
When they St. Agnes' wool are weaving piously.""
""St. Agnes! Ah! it is St. Agnes' Eve—
Yet men will murder upon holy days:
Thou must hold water in a witch's sieve,
And be liege-lord of all the Elves and Fays,
To venture so: it fills me with amaze
To see thee, Porphyro!—St. Agnes' Eve!
God's help! my lady fair the conjuror plays
This very night: good angels her deceive!
But let me laugh awhile, I've mickle time to grieve.""
Feebly she laugheth in the languid moon,
While Porphyro upon her face doth look,
Like puzzled urchin on an aged crone
Who keepeth clos'd a wond'rous riddle-book,
As spectacled she sits in chimney nook.
But soon his eyes grew brilliant, when she told
His lady's purpose; and he scarce could brook
Tears, at the thought of those enchantments cold,
And Madeline asleep in lap of legends old.
Sudden a thought came like a full-blown rose,
Flushing his brow, and in his pained heart
Made purple riot: then doth he propose
A stratagem, that makes the beldame start:
""A cruel man and impious thou art:
Sweet lady, let her pray, and sleep, and dream
Alone with her good angels, far apart
From wicked men like thee. Go, go!—I deem
Thou canst not surely be the same that thou didst seem.""
""I will not harm her, by all saints I swear,""
Quoth Porphyro: ""O may I ne'er find grace
When my weak voice shall whisper its last prayer,
If one of her soft ringlets I displace,
Or look with ruffian passion in her face:
Good Angela, believe me by these tears;
Or I will, even in a moment's space,
Awake, with horrid shout, my foemen's ears,
And beard them, though they be more fang'd than wolves and bears.""
""Ah! why wilt thou affright a feeble soul?
A poor, weak, palsy-stricken, churchyard thing,
Whose passing-bell may ere the midnight toll;
Whose prayers for thee, each morn and evening,
Were never miss'd.""—Thus plaining, doth she bring
A gentler speech from burning Porphyro;
So woful, and of such deep sorrowing,
That Angela gives promise she will do
Whatever he shall wish, betide her weal or woe.
Which was, to lead him, in close secrecy,
Even to Madeline's chamber, and there hide
Him in a closet, of such privacy
That he might see her beauty unespy'd,
And win perhaps that night a peerless bride,
While legion'd faeries pac'd the coverlet,
And pale enchantment held her sleepy-ey'd.
Never on such a night have lovers met,
Since Merlin paid his Demon all the monstrous debt.
""It shall be as thou wishest,"" said the Dame:
""All cates and dainties shall be stored there
Quickly on this feast-night: by the tambour frame
Her own lute thou wilt see: no time to spare,
For I am slow and feeble, and scarce dare
On such a catering trust my dizzy head.
Wait here, my child, with patience; kneel in prayer
The while: Ah! thou must needs the lady wed,
Or may I never leave my grave among the dead.""
So saying, she hobbled off with busy fear.
The lover's endless minutes slowly pass'd;
The dame return'd, and whisper'd in his ear
To follow her; with aged eyes aghast
From fright of dim espial. Safe at last,
Through many a dusky gallery, they gain
The maiden's chamber, silken, hush'd, and chaste;
Where Porphyro took covert, pleas'd amain.
His poor guide hurried back with agues in her brain.
Her falt'ring hand upon the balustrade,
Old Angela was feeling for the stair,
When Madeline, St. Agnes' charmed maid,
Rose, like a mission'd spirit, unaware:
With silver taper's light, and pious care,
She turn'd, and down the aged gossip led
To a safe level matting. Now prepare,
Young Porphyro, for gazing on that bed;
She comes, she comes again, like ring-dove fray'd and fled.
Out went the taper as she hurried in;
Its little smoke, in pallid moonshine, died:
She clos'd the door, she panted, all akin
To spirits of the air, and visions wide:
No uttered syllable, or, woe betide!
But to her heart, her heart was voluble,
Paining with eloquence her balmy side;
As though a tongueless nightingale should swell
Her throat in vain, and die, heart-stifled, in her dell.
A casement high and triple-arch'd there was,
All garlanded with carven imag'ries
Of fruits, and flowers, and bunches of knot-grass,
And diamonded with panes of quaint device,
Innumerable of stains and splendid dyes,
As are the tiger-moth's deep-damask'd wings;
And in the midst, 'mong thousand heraldries,
And twilight saints, and dim emblazonings,
A shielded scutcheon blush'd with blood of queens and kings.
Full on this casement shone the wintry moon,
And threw warm gules on Madeline's fair breast,
As down she knelt for heaven's grace and boon;
Rose-bloom fell on her hands, together prest,
And on her silver cross soft amethyst,
And on her hair a glory, like a saint:
She seem'd a splendid angel, newly drest,
Save wings, for heaven:—Porphyro grew faint:
She knelt, so pure a thing, so free from mortal taint.
Anon his heart revives: her vespers done,
Of all its wreathed pearls her hair she frees;
Unclasps her warmed jewels one by one;
Loosens her fragrant boddice; by degrees
Her rich attire creeps rustling to her knees:
Half-hidden, like a mermaid in sea-weed,
Pensive awhile she dreams awake, and sees,
In fancy, fair St. Agnes in her bed,
But dares not look behind, or all the charm is fled.
Soon, trembling in her soft and chilly nest,
In sort of wakeful swoon, perplex'd she lay,
Until the poppied warmth of sleep oppress'd
Her soothed limbs, and soul fatigued away;
Flown, like a thought, until the morrow-day;
Blissfully haven'd both from joy and pain;
Clasp'd like a missal where swart Paynims pray;
Blinded alike from sunshine and from rain,
As though a rose should shut, and be a bud again.
Stol'n to this paradise, and so entranced,
Porphyro gaz'd upon her empty dress,
And listen'd to her breathing, if it chanced
To wake into a slumberous tenderness;
Which when he heard, that minute did he bless,
And breath'd himself: then from the closet crept,
Noiseless as fear in a wide wilderness,
And over the hush'd carpet, silent, stept,
And 'tween the curtains peep'd, where, lo!—how fast she slept.
Then by the bed-side, where the faded moon
Made a dim, silver twilight, soft he set
A table, and, half anguish'd, threw thereon
A cloth of woven crimson, gold, and jet:—
O for some drowsy Morphean amulet!
The boisterous, midnight, festive clarion,
The kettle-drum, and far-heard clarinet,
Affray his ears, though but in dying tone:—
The hall door shuts again, and all the noise is gone.
And still she slept an azure-lidded sleep,
In blanched linen, smooth, and lavender'd,
While he forth from the closet brought a heap
Of candied apple, quince, and plum, and gourd;
With jellies soother than the creamy curd,
And lucent syrops, tinct with cinnamon;
Manna and dates, in argosy transferr'd
From Fez; and spiced dainties, every one,
From silken Samarcand to cedar'd Lebanon.
These delicates he heap'd with glowing hand
On golden dishes and in baskets bright
Of wreathed silver: sumptuous they stand
In the retired quiet of the night,
Filling the chilly room with perfume light.—
""And now, my love, my seraph fair, awake!
Thou art my heaven, and I thine eremite:
Open thine eyes, for meek St. Agnes' sake,
Or I shall drowse beside thee, so my soul doth ache.""
Thus whispering, his warm, unnerved arm
Sank in her pillow. Shaded was her dream
By the dusk curtains:—'twas a midnight charm
Impossible to melt as iced stream:
The lustrous salvers in the moonlight gleam;
Broad golden fringe upon the carpet lies:
It seem'd he never, never could redeem
From such a stedfast spell his lady's eyes;
So mus'd awhile, entoil'd in woofed phantasies.
Awakening up, he took her hollow lute,—
Tumultuous,—and, in chords that tenderest be,
He play'd an ancient ditty, long since mute,
In Provence call'd, ""La belle dame sans mercy"":
Close to her ear touching the melody;—
Wherewith disturb'd, she utter'd a soft moan:
He ceas'd—she panted quick—and suddenly
Her blue affrayed eyes wide open shone:
Upon his knees he sank, pale as smooth-sculptured stone.
Her eyes were open, but she still beheld,
Now wide awake, the vision of her sleep:
There was a painful change, that nigh expell'd
The blisses of her dream so pure and deep
At which fair Madeline began to weep,
And moan forth witless words with many a sigh;
While still her gaze on Porphyro would keep;
Who knelt, with joined hands and piteous eye,
Fearing to move or speak, she look'd so dreamingly.
""Ah, Porphyro!"" said she, ""but even now
Thy voice was at sweet tremble in mine ear,
Made tuneable with every sweetest vow;
And those sad eyes were spiritual and clear:
How chang'd thou art! how pallid, chill, and drear!
Give me that voice again, my Porphyro,
Those looks immortal, those complainings dear!
Oh leave me not in this eternal woe,
For if thy diest, my Love, I know not where to go.""
Beyond a mortal man impassion'd far
At these voluptuous accents, he arose
Ethereal, flush'd, and like a throbbing star
Seen mid the sapphire heaven's deep repose;
Into her dream he melted, as the rose
Blendeth its odour with the violet,—
Solution sweet: meantime the frost-wind blows
Like Love's alarum pattering the sharp sleet
Against the window-panes; St. Agnes' moon hath set.
'Tis dark: quick pattereth the flaw-blown sleet:
""This is no dream, my bride, my Madeline!""
'Tis dark: the iced gusts still rave and beat:
""No dream, alas! alas! and woe is mine!
Porphyro will leave me here to fade and pine.—
Cruel! what traitor could thee hither bring?
I curse not, for my heart is lost in thine,
Though thou forsakest a deceived thing;—
A dove forlorn and lost with sick unpruned wing.""
""My Madeline! sweet dreamer! lovely bride!
Say, may I be for aye thy vassal blest?
Thy beauty's shield, heart-shap'd and vermeil dyed?
Ah, silver shrine, here will I take my rest
After so many hours of toil and quest,
A famish'd pilgrim,—sav'd by miracle.
Though I have found, I will not rob thy nest
Saving of thy sweet self; if thou think'st well
To trust, fair Madeline, to no rude infidel.
""Hark! 'tis an elfin-storm from faery land,
Of haggard seeming, but a boon indeed:
Arise—arise! the morning is at hand;—
The bloated wassaillers will never heed:—
Let us away, my love, with happy speed;
There are no ears to hear, or eyes to see,—
Drown'd all in Rhenish and the sleepy mead:
Awake! arise! my love, and fearless be,
For o'er the southern moors I have a home for thee.""
She hurried at his words, beset with fears,
For there were sleeping dragons all around,
At glaring watch, perhaps, with ready spears—
Down the wide stairs a darkling way they found.—
In all the house was heard no human sound.
A chain-droop'd lamp was flickering by each door;
The arras, rich with horseman, hawk, and hound,
Flutter'd in the besieging wind's uproar;
And the long carpets rose along the gusty floor.
They glide, like phantoms, into the wide hall;
Like phantoms, to the iron porch, they glide;
Where lay the Porter, in uneasy sprawl,
With a huge empty flaggon by his side:
The wakeful bloodhound rose, and shook his hide,
But his sagacious eye an inmate owns:
By one, and one, the bolts full easy slide:—
The chains lie silent on the footworn stones;—
The key turns, and the door upon its hinges groans.
And they are gone: ay, ages long ago
These lovers fled away into the storm.
That night the Baron dreamt of many a woe,
And all his warrior-guests, with shade and form
Of witch, and demon, and large coffin-worm,
Were long be-nightmar'd. Angela the old
Died palsy-twitch'd, with meagre face deform;
The Beadsman, after thousand aves told,
For aye unsought for slept among his ashes cold.",,,,,,,,,,,,,,
"Holy Sonnet VII: At the round earth’s imagin’d corners, blow by John Donne","At the round earth's imagin'd corners, blow
Your trumpets, angels, and arise, arise
From death, you numberless infinities
Of souls, and to your scatter'd bodies go;
All whom the flood did, and fire shall o'erthrow,
All whom war, dearth, age, agues, tyrannies,
Despair, law, chance hath slain, and you whose eyes
Shall behold God and never taste death's woe.
But let them sleep, Lord, and me mourn a space,
For if above all these my sins abound,
'Tis late to ask abundance of thy grace
When we are there; here on this lowly ground
Teach me how to repent; for that's as good
As if thou'hadst seal'd my pardon with thy blood.",,,,,,,,,,,,,,
Gymnopédies No. 1 by Adrian Matejka,"That was the week
it didn’t stop snowing.
That was the week
five-fingered trees fell
on houses & power lines
broke like somebody waiting
for payday in a snowstorm.
That snow week, my daughter
& I trudged over the broken branches
fidgeting through snow
like hungry fingers through
an empty pocket.
Over the termite-hollowed stump
as squat as a flat tire.
Over the hollow
the fox dives into
when we open the back door at night.
That was the week of snow
& it glittered like every
Christmas card we could
remember while my daughter
poked around for the best place
to stand a snowman. One
with a pinecone nose.
One with thumb-pressed
eyes to see the whole
picture once things warm up.",,,,,,,,,,,,,,
You Begin by Margaret Atwood,"You begin this way:
this is your hand,
this is your eye,
that is a fish, blue and flat
on the paper, almost
the shape of an eye.
This is your mouth, this is an O
or a moon, whichever
you like. This is yellow.

Outside the window
is the rain, green
because it is summer, and beyond that
the trees and then the world,
which is round and has only
the colors of these nine crayons.

This is the world, which is fuller
and more difficult to learn than I have said.
You are right to smudge it that way
with the red and then
the orange: the world burns.

Once you have learned these words
you will learn that there are more
words than you can ever learn.
The word hand floats above your hand
like a small cloud over a lake.
The word hand anchors
your hand to this table,
your hand is a warm stone
I hold between two words.

This is your hand, these are my hands, this is the world,
which is round but not flat and has more colors
than we can see.

It begins, it has an end,
this is what you will
come back to, this is your hand.",,,,,,,,,,,,,,
Good Timber by Douglas Malloch,"The tree that never had to fight
For sun and sky and air and light,
But stood out in the open plain
And always got its share of rain,
Never became a forest king
But lived and died a scrubby thing.
The man who never had to toil
To gain and farm his patch of soil,
Who never had to win his share
Of sun and sky and light and air,
Never became a manly man
But lived and died as he began.
Good timber does not grow with ease,
The stronger wind, the stronger trees,
The further sky, the greater length,
The more the storm, the more the strength.
By sun and cold, by rain and snow,
In trees and men good timbers grow.
Where thickest lies the forest growth
We find the patriarchs of both.
And they hold counsel with the stars
Whose broken branches show the scars
Of many winds and much of strife.
This is the common law of life.",,,,,,,,,,,,,,
The Beauty of Union by George the Poet,"There’s an indescribable beauty in union
In two beings forming one new being
Entering each other’s world
Surrendering each other’s selves
Accepting the invitation to be everything to someone else
There’s an unparallelled bravery in union
In telling the one you love:
“The only way that we can truly win
Is if I think of you in everything I do
And honour every decision you faithfully include me in.”
Love gives union true meaning
It illuminates the path
It wants us to compromise, communicate and laugh
It wants us to elevate, appreciate without pride
Love is oblivious to the outside
Even with an audience of millions
Even when that love bears immortal significance
All of this is met with cordial indifference
By the two people at the heart of it
Two individuals when they started it
Becoming two halves of one partnership
Such is the beauty of union
Such is the beauty of union",,,,,,,,,,,,,,
God’s Grandeur by Gerard Manley Hopkins,"The world is charged with the grandeur of God.
It will flame out, like shining from shook foil;
It gathers to a greatness, like the ooze of oil
Crushed. Why do men then now not reck his rod?
Generations have trod, have trod, have trod;
And all is seared with trade; bleared, smeared with toil;
And wears man's smudge and shares man's smell: the soil
Is bare now, nor can foot feel, being shod.
And for all this, nature is never spent;
There lives the dearest freshness deep down things;
And though the last lights off the black West went
Oh, morning, at the brown brink eastward, springs —
Because the Holy Ghost over the bent
World broods with warm breast and with ah! bright wings.",,,,,,,,,,,,,,
"Hey, Black Child by Useni Eugene Perkins","Hey Black Child
Be what you can do
Learn what you must learn
Do what you can do
And tomorrow your nation
Will be what you want ti to be

Hey Black Child
Do you know where you are going
Where you're really going
Do you know you can learn
What you want to learn
What you can learn

Hey Black Child
Do you know you are strong
I mean really strong
Do you know you can do
What you want to do
If you try to do
What you can do

Hey Black Child
Do you know who you are
Who you really are
Do you know you can be
What you want to be
If you try to be
What you can be
Hey, Black Child",,,,,,,,,,,,,,
I Worried by Mary Oliver,"I worried a lot. Will the garden grow, will the rivers
flow in the right direction, will the earth turn
as it was taught, and if not how shall
I correct it?
Was I right, was I wrong, will I be forgiven,
can I do better?
Will I ever be able to sing, even the sparrows
can do it and I am, well,
hopeless.
Is my eyesight fading or am I just imagining it,
am I going to get rheumatism,
lockjaw, dementia?
Finally, I saw that worrying had come to nothing.
And gave it up. And took my old body
and went out into the morning,
and sang",,,,,,,,,,,,,,
The Penitent by Anne Brontë,"MOURN with thee, and yet rejoice
That thou shouldst sorrow so;
With angel choirs I join my voice
To bless the sinner's woe.
Though friends and kindred turn away,
And laugh thy grief to scorn;
I hear the great Redeemer say,
""Blessed are ye that mourn.""
Hold on thy course, nor deem it strange
That earthly cords are riven:
Man may lament the wondrous change,
But ""there is joy in heaven!""",,,,,,,,,,,,,,
The Hawthorn Tree by Willa Cather,"ACROSS the shimmering meadows--
Ah, when he came to me!
In the spring-time,
In the night-time,
In the starlight,
Beneath the hawthorn tree.
 
Up from the misty marsh-land--
Ah, when he climbed to me!
To my white bower,
To my sweet rest,
To my warm breast,
Beneath the hawthorn tree.
 
Ask of me what the birds sang,
High in the hawthorn tree;
What the breeze tells,
What the rose smells,
What the stars shine--
Not what he said to me!",,,,,,,,,,,,,,
The Falling Leaves by Margaret Postgate Cole,"Today, as I rode by,
I saw the brown leaves dropping from their tree
In a still afternoon,
When no wind whirled them whistling to the sky,
But thickly, silently,
They fell, like snowflakes wiping out the noon;
And wandered slowly thence
For thinking of a gallant multitude
Which now all withering lay,
Slain by no wind of age or pestilence,
But in their beauty strewed
Like snowflakes falling on the Flemish clay.",,,,,,,,,,,,,,
"Away, Melancholy by Stevie Smith","Away, melancholy,
Away with it, let it go.

Are not the trees green,
The earth as green?
Does not the wind blow,
Fire leap and the rivers flow?
Away melancholy.

The ant is busy
He carrieth his meat,
All things hurry
To be eaten or eat.
Away, melancholy.

Man, too, hurries,
Eats, couples, buries,
He is an animal also
With a hey ho melancholy,
Away with it, let it go.

Man of all creatures
Is superlative
(Away melancholy)
He of all creatures alone
Raiseth a stone
(Away melancholy)
Into the stone, the god
Pours what he knows of good
Calling, good, God.
Away melancholy, let it go.

Speak not to me of tears,
Tyranny, pox, wars,
Saying, Can God
Stone of man's thoughts, be good?
Say rather it is enough
That the stuffed
Stone of man's good, growing,
By man's called God.
Away, melancholy, let it go.

Man aspires
To good,
To love
Sighs;

Beaten, corrupted, dying
In his own blood lying
Yet heaves up an eye above
Cries, Love, love.
It is his virtue needs explaining,
Not his failing.

Away, melancholy,
Away with it, let it go",,,,,,,,,,,,,,
Boots by Rudyard Kipling,"We're foot—slog—slog—slog—sloggin' over Africa —
Foot—foot—foot—foot—sloggin' over Africa —
(Boots—boots—boots—boots—movin' up an' down again!)
There's no discharge in the war!
Seven—six—eleven—five—nine-an'-twenty mile to-day —
Four—eleven—seventeen—thirty-two the day before —
(Boots—boots—boots—boots—movin' up an' down again!)
There's no discharge in the war!
Don't—don't—don't—don't—look at what's in front of you.
(Boots—boots—boots—boots—movin' up an' down again);
Men—men—men—men—men go mad with watchin' em,
An' there's no discharge in the war!
Try—try—try—try—to think o' something different —
Oh—my—God—keep—me from goin' lunatic!
(Boots—boots—boots—boots—movin' up an' down again!)
There's no discharge in the war!
Count—count—count—count—the bullets in the bandoliers.
If—your—eyes—drop—they will get atop o' you!
(Boots—boots—boots—boots—movin' up an' down again) —
There's no discharge in the war!
We—can—stick—out—'unger, thirst, an' weariness,
But—not—not—not—not the chronic sight of 'em —
Boot—boots—boots—boots—movin' up an' down again,
An' there's no discharge in the war!
'Taint—so—bad—by—day because o' company,
But night—brings—long—strings—o' forty thousand million
Boots—boots—boots—boots—movin' up an' down again.
There's no discharge in the war!
I—'ave—marched—six—weeks in 'Ell an' certify
It—is—not—fire—devils, dark, or anything,
But boots—boots—boots—boots—movin' up an' down again,
An' there's no discharge in the war!",,,,,,,,,,,,,,
You are the daughter of the sea by Pablo Neruda,"You are the daughter of the sea, oregano's first cousin.
Swimmer, your body is pure as the water;
cook, your blood is quick as the soil.
Everything you do is full of flowers, rich with the earth.

Your eyes go out toward the water, and the waves rise;
your hands go out to the earth and the seeds swell;
you know the deep essence of water and the earth,
conjoined in you like a formula for clay.

Naiad: cut your body into turquoise pieces,
they will bloom resurrected in the kitchen.
This is how you become everything that lives.

And so at last, you sleep, in the circle of my arms
that push back the shadows so that you can rest--
vegetables, seaweed, herbs: the foam of your dreams.",,,,,,,,,,,,,,
Prairie Spring by Willa Cather,"Evening and the flat land,
Rich and sombre and always silent;
The miles of fresh-plowed soil,
Heavy and black, full of strength and harshness;
The growing wheat, the growing weeds,
The toiling horses, the tired men;
The long empty roads,
Sullen fires of sunset, fading,
The eternal, unresponsive sky.
Against all this, Youth,
Flaming like the wild roses,
Singing like the larks over the plowed fields,
Flashing like a star out of the twilight;
Youth with its insupportable sweetness,
Its fierce necessity,
Its sharp desire,
Singing and singing,
Out of the lips of silence,
Out of the earthy dusk.",,,,,,,,,,,,,,
Part II: The Rime of The Ancient Mariner By S.T. Coleridge,"The Sun now rose upon the right:
Out of the sea came he,
Still hid in mist, and on the left
Went down into the sea.
And the good south wind still blew behind,
But no sweet bird did follow,
Nor any day for food or play
Came to the mariner's hollo!
And I had done a hellish thing,
And it would work 'em woe:
For all averred, I had killed the bird
That made the breeze to blow.
Ah wretch! said they, the bird to slay,
That made the breeze to blow!
Nor dim nor red, like God's own head,
The glorious Sun uprist:
Then all averred, I had killed the bird
That brought the fog and mist.
'Twas right, said they, such birds to slay,
That bring the fog and mist.
The fair breeze blew, the white foam flew,
The furrow followed free;
We were the first that ever burst
Into that silent sea.
Down dropt the breeze, the sails dropt down,
'Twas sad as sad could be;
And we did speak only to break
The silence of the sea!
All in a hot and copper sky,
The bloody Sun, at noon,
Right up above the mast did stand,
No bigger than the Moon.
Day after day, day after day,
We stuck, nor breath nor motion;
As idle as a painted ship
Upon a painted ocean.
Water, water, every where,
And all the boards did shrink;
Water, water, every where,
Nor any drop to drink.
The very deep did rot: O Christ!
That ever this should be!
Yea, slimy things did crawl with legs
Upon the slimy sea.
About, about, in reel and rout
The death-fires danced at night;
The water, like a witch's oils,
Burnt green, and blue and white.
And some in dreams assurèd were
Of the Spirit that plagued us so;
Nine fathom deep he had followed us
From the land of mist and snow.
And every tongue, through utter drought,
Was withered at the root;
We could not speak, no more than if
We had been choked with soot.
Ah! well a-day! what evil looks
Had I from old and young!
Instead of the cross, the Albatross
About my neck was hung.",,,,,,,,,,,,,,
"A Letter to her Husband, absent upon Publick employment by Anne Bradstreet","My head, my heart, mine Eyes, my life, nay more,
My joy, my Magazine of earthly store,
If two be one, as surely thou and I,
How stayest thou there, whilst I at Ipswich lye?
So many steps, head from the heart to sever
If but a neck, soon should we be together:
I like the earth this season, mourn in black,
My Sun is gone so far in’s Zodiack,
Whom whilst I ’joy’d, nor storms, nor frosts I felt,
His warmth such frigid colds did cause to melt.
My chilled limbs now nummed lye forlorn;
Return, return sweet Sol from Capricorn;
In this dead time, alas, what can I more
Then view those fruits which through thy heat I bore?
Which sweet contentment yield me for a space,
True living Pictures of their Fathers face.
O strange effect! now thou art Southward gone,
I weary grow, the tedious day so long;
But when thou Northward to me shalt return,
I wish my Sun may never set, but burn
Within the Cancer of my glowing breast,
The welcome house of him my dearest guest.
Where ever, ever stay, and go not thence,
Till natures sad decree shall call thee hence;
Flesh of thy flesh, bone of thy bone,
I here, thou there, yet both but one.",,,,,,,,,,,,,,
First Day At School by Roger McGough,"A millionbillionwillion miles from home
Waiting for the bell to go. (To go where?)
Why are they all so big, other children?
So noisy? So much at home they
Must have been born in uniform
Lived all their lives in playgrounds
Spent the years inventing games
That don't let me in. Games
That are rough, that swallow you up.

And the railings.
All around, the railings.
Are they to keep out wolves and monsters?
Things that carry off and eat children?
Things you don't take sweets from?
Perhaps they're to stop us getting out
Running away from the lessins. Lessin.
What does a lessin look like?
Sounds small and slimy.
They keep them in the glassrooms.
Whole rooms made out of glass. Imagine.

I wish I could remember my name
Mummy said it would come in useful.
Like wellies. When there's puddles.
Yellowwellies. I wish she was here.
I think my name is sewn on somewhere
Perhaps the teacher will read it for me.
Tea-cher. The one who makes the tea.",,,,,,,,,,,,,,
